MosaicID,Score,TitleType,TitleCategory,Name
6,2118,TV,TV,Mobile Phone No Contract (18-24)
6,1087,Social,Digital,Mobile Phone No Contract (18-24)
6,549,Newspaper,Print,Mobile Phone No Contract (18-24)
6,476,Magazine,Print,Mobile Phone No Contract (18-24)
6,413,Online Media,Digital,Mobile Phone No Contract (18-24)
6,204,Radio,Radio,Mobile Phone No Contract (18-24)
8,3418,TV,TV,Directors or Senior Executives
8,1082,Social,Digital,Directors or Senior Executives
8,953,Newspaper,Print,Directors or Senior Executives
8,788,Online Media,Digital,Directors or Senior Executives
8,732,Magazine,Print,Directors or Senior Executives
8,677,Radio,Radio,Directors or Senior Executives
9,20865,TV,TV,iNua - All adults 18+
9,5785,Social,Digital,iNua - All adults 18+
9,3729,Radio,Radio,iNua - All adults 18+
9,3127,Newspaper,Print,iNua - All adults 18+
9,2714,Online Media,Digital,iNua - All adults 18+
9,1436,Magazine,Print,iNua - All adults 18+
12,26268,TV,TV,All Adults
12,6531,Social,Digital,All Adults
12,4651,Radio,Radio,All Adults
12,3411,Newspaper,Print,All Adults
12,3133,Online Media,Digital,All Adults
12,1613,Magazine,Print,All Adults
14,25783,TV,TV,(All Adults) AND (18+)
14,13342,Out of Home,OOH,(All Adults) AND (18+)
14,6359,Social,Digital,(All Adults) AND (18+)
14,4570,Radio,Radio,(All Adults) AND (18+)
14,3250,Newspaper,Print,(All Adults) AND (18+)
14,3048,Online Media,Digital,(All Adults) AND (18+)
14,1548,Magazine,Print,(All Adults) AND (18+)
16,6075,TV,TV,DID current shopper media habits
16,2988,Out of Home,OOH,DID current shopper media habits
16,1142,Social,Digital,DID current shopper media habits
16,1089,Online Media,Digital,DID current shopper media habits
16,1044,Newspaper,Print,DID current shopper media habits
16,961,Radio,Radio,DID current shopper media habits
16,960,Magazine,Print,DID current shopper media habits
19,9663,TV,TV,DID All Adults 25-44
19,4323,Out of Home,OOH,DID All Adults 25-44
19,3829,Social,Digital,DID All Adults 25-44
19,1784,Radio,Radio,DID All Adults 25-44
19,1784,Newspaper,Print,DID All Adults 25-44
19,1427,Online Media,Digital,DID All Adults 25-44
19,984,Magazine,Print,DID All Adults 25-44
20,11672,TV,TV,Purchase First Home or Major Home Improvements
20,4939,Out of Home,OOH,Purchase First Home or Major Home Improvements
