SEC,CPU,GPU
0,14.0,136.61328125
2024-07-23 17:55:38.012723
0,16.0,130.50390625
3,2.0,193.375
2024-07-23 18:32:42.823588
0,21.0,123.82421875
3,4.0,188.92578125
2024-07-23 18:34:26.437719
0,15.0,132.60546875
3,0.0,197.21875
2024-07-23 18:37:28.547428
0,14.0,120.05078125
2024-07-24 13:53:27.390400
2024-07-24 13:53:41.894154
0,14.0,126.43359375
3,1.0,161.171875
6,3.0,193.40234375
2024-07-25 15:52:51.341217
2024-07-25 15:57:19.340406
2024-07-25 15:57:36.081856
2024-07-25 15:57:36.169165
2024-07-25 16:02:59.838850
2024-07-25 16:02:59.916523
0,15.0,132.1171875
0,8.0,132.1171875
3,0.0,132.1171875
3,0.0,132.1171875
6,2.0,132.1171875
6,0.0,132.1171875
9,0.0,132.1171875
9,0.0,132.1171875
12,0.0,132.1171875
12,0.0,132.1171875
15,0.0,132.1171875
15,0.0,132.1171875
18,0.0,132.1171875
18,0.0,132.1171875
21,0.0,132.1171875
21,0.0,132.1171875
24,0.0,132.1171875
24,0.0,132.1171875
27,0.0,132.1171875
27,0.0,132.1171875
30,0.0,132.1171875
30,0.0,132.1171875
33,0.0,132.1171875
33,0.0,132.1171875
36,1.0,132.1171875
36,1.0,132.1171875
39,0.0,132.1171875
39,0.0,132.1171875
42,0.0,132.1171875
42,0.0,132.1171875
45,0.0,132.1171875
45,0.0,132.1171875
48,0.0,132.1171875
48,0.0,132.1171875
51,0.0,132.1171875
51,0.0,132.1171875
54,0.0,132.1171875
54,0.0,132.1171875
57,1.0,132.1171875
57,1.0,132.1171875
60,0.0,132.1171875
60,0.0,132.1171875
63,1.0,132.1171875
63,1.0,132.1171875
66,0.0,132.1171875
66,0.0,132.1171875
69,0.0,132.1171875
69,0.0,132.1171875
72,0.0,132.1171875
72,0.0,132.1171875
75,0.0,132.1171875
75,0.0,132.1171875
78,0.0,132.1171875
78,0.0,132.1171875
81,0.0,132.1171875
81,0.0,132.1171875
84,0.0,132.1171875
84,0.0,132.1171875
87,0.0,132.1171875
87,0.0,132.1171875
90,0.0,132.1171875
90,0.0,132.1171875
93,0.0,132.1171875
93,0.0,132.1171875
96,0.0,132.1171875
96,1.0,132.1171875
99,0.0,132.1171875
99,0.0,132.1171875
102,1.0,132.1171875
102,1.0,132.1171875
105,0.0,132.1171875
105,0.0,132.1171875
108,1.0,132.1171875
108,1.0,132.1171875
111,0.0,132.1171875
111,0.0,132.1171875
114,0.0,132.1171875
